"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","±³ÅëÁ¤º¸","È¨ÆäÀÌÁö ¾ğ¾î","´ëÇ¥¸Ş´º"
"2604","ja","[ÛİÒ´ªÎïÁ] «Á«ã«à«Ì«í«ó«½","https://japanese.visitseoul.net/restaurants/«Á«ã«à«Ì«í«ó«½/JPP002597?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP002597","139-872 «½«¦«ëã¼ÖÖê«?ù»?Ô×276-6 ","01830 «½«¦«ëã¼«Î«¦«©«ó(ÖÖê«)?«³«ó«Ì«ó«í63«®«ë13 (ù»?Ô×)","+82-2-979-6400","","11:00 - 22:00 (KST)","ò¢ù»?7?àÊ¡¸«Ï«²¡¹?3ÛãõóÏ¢","","éÚë¿?ª­"
"2863","ja","«Î«é«ó«Á«ç«´«ê Ë°ÑõïÁ","https://japanese.visitseoul.net/restaurants/«Î«é«ó«Á«ç«´«ê-Ë°ÑõïÁ/JPP002861?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP002861","137-070 «½«¦«ëã¼ßúõ®?ßúõ®Ô×1316-29 «¿«¤«à«Ó«ë«Ç«£«ó«°5Í­","06616 «½«¦«ëã¼«½«Á«ç(ßúõ®)?«½«Á«ç«Ç«í73«®«ë9 (ßúõ®Ô×)","+82-2-534-5300","","11:30?~ 21:30 (KST)","ò¢ù»?2?àÊ¡¸«««ó«Ê«à¡¹?9ÛãõóÏ¢","","ÊªïÒãİ üÜßäª¤ïÒãİ «¬«ó«®«¨«¤ªÎí©ãó¡¤ÔÊë¿¡¤«­«à«ÁøĞªß ı¸ğ²äå?ª­"
"2865","zh-TW","üÜßäëıß× (Ë°ÑõïÁ)","https://tchinese.visitseoul.net/restaurants/üÜßäëıß×-Ë°ÑõïÁ/TCP002861?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP002861","137-070 âÏì³ã¼ßúõ®Ï¡ßúõ®Ô× 1316-29 TIMEÓŞù¿5öµ","06616 âÏì³ã¼ßúõ®Ï¡ßúõ®ÓŞÖØ73Ê¶9 ","+82-2-534-5300","","11:30 ~ 21:30 (KST)","ò¢ôÑ2ûÜàÊË°Ñõó×9ûÜõóÏ¢","",""
"3209","ja","éÑ?è©(«¦«ì«ª«¯)","https://japanese.visitseoul.net/restaurants/éÑ?è©«¦«ì«ª«¯/JPP003207?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP003207","100-330 «½«¦«ëã¼ñé?ñÇÎéÔ× 118-1","04546 «½«¦«ëã¼«Á«å«ó«°(ñé?)«Á«ã«ó«®«ç«ó«°«ó«í62-29 ","+82-2-2265-0151","","11:30 - 21:00 (KST)","2?àÊ&5?àÊ «¦«ë«¸«í«µ«¬ 4ÛãõóÏ¢  ","","â©ÕÒØı ?ª­ë¿"
"3498","en","Hwangsaengga Kalguksu ","https://english.visitseoul.net/restaurants/Hwangsaengga-Kalguksu/ENP003496?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP003496","110-200 84, Sogyeok-dong, Jongno-gu, Seoul ","03053 78, Bukchon-ro 5-gil, Jongno-gu, Seoul ","+82-2-739-6339","http://hwangsanga.modoo.at","Daily 11:00 - 21:30 KST","Subway Line 3, Anguk Station, Exit 2","KOR",""
"5662","ja","«Ï«Ì«½(ìÒŞÑïÁ)","https://japanese.visitseoul.net/restaurants/«Ï«Ì«½£¨ìÒŞÑïÁ£©/JPP005652?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP005652","110-320 «½«¦«ëã¼ñ¤ÖØ??ê®Ô×  272","03163 «½«¦«ëã¼«Á«ç«ó«Î«°(ñ¤ÖØ?)«¤«ó«µ«É«ó4«®«ë18 (?ê®Ô×)","+82-2-739-9990","http://www.hanuso.com","11:00 - 21:30 KST","3?àÊ«¢«ó«°«¯?5ÛãõóÏ¢ 5?àÊ«Á«ç«ó«Î«µ«à«¬?5ÛãõóÏ¢","ùÛ?åŞ","«Ï«Ì«¢«à«½?«³«Ã«É«¥«ó«·«à(ùÛ?ß§ßÜË½ªê«í?«¹ªÎ?ë¿)  «Ï«Ì«¢«à«½?«ä«ó«Ë«ç«à«««ë«Ó(ùÛ?ß§Ú«Üõª±«««ë«ÓªÎ?ë¿)"
"12211","ko","¿ÍÀÎºÏÄ«Æä","https://korean.visitseoul.net/restaurants/¿ÍÀÎºÏÄ«Æä/KOP012208?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012208"," ¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇöµ¿8-9 ","06040 ¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î149±æ 5 (³íÇöµ¿) ¿£Å¸½Ã¾Æ ºôµù 1Ãş","02-549-0490","https://www.facebook.com/Winebookcafe ","17:00 ~ 24:00","7È£¼± ÇĞµ¿¿ª 7¹ø Ãâ±¸","","ºñÅÚ·Î Åä³ªÅä, ±×¶óºê¶ô½º, ÇÑ¿ì 1++ Ã¤³¡ µî½É ºñ½º¶¼±î"
"12212","en","Wine Book Cafe","https://english.visitseoul.net/restaurants/Wine-Book-Cafe-EN/ENP012208?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP012208"," 8-9, Nonhyeon 1-dong, Gangnam-gu, Seoul ","06040 5, Nonhyeon-ro 149-gil, Gangnam-gu, Seoul ","+82-2-549-0490","https://www.facebook.com/Winebookcafe ","17:00 - 24:00 (KST)","Subway Line 7, Hakdong Station, Exit 7","KOR",""
"12149","zh-TW","à¤Ë°ø¢ÌØ","https://tchinese.visitseoul.net/restaurants/à¤Ë°ø¢ÌØ-cha/TCP012148?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP012148"," âÏì³÷åÜ¬ã¼Ø«øİÏ¡ß¾â©Ô×356-6 ","04081 âÏì³ã¼Ø«øİÏ¡÷ÏïÍÖØ128 ","+82-2-334-1919","http://www.seogang8kyoung.co.kr/","12:00 ~ 15:00 / 17:30 ~ 19:30 / 20:00 ~ 24:00 KST","ò¢ôÑ6ûÜàÊß¾â©ó×3ûÜõóÏ¢800Íëô©  ","","ÛöãÒ÷ßóÉ"
"14781","zh-TW","La Seine","https://tchinese.visitseoul.net/restaurants/La-Seine-TC/TCP014778?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014778","100-070 âÏì³÷åÜ¬ã¼ñéÏ¡á³ÍëÔ× 1","04533 âÏì³ã¼ñéÏ¡ÑõÓŞÚ¦ÖØ81 ","+82-2-317-7171","https://www.lottehotel.com/seoul-hotel/ko/dining/restaurant-la-seine.html","ñÎìéò¸ñÎŞÌ ğÄóÉ:06:30~10:00 KST çíóÉ:11:30~14:30 KST ?ß¾:18:00~21:30 KST  àøÑ¢çé ğÄóÉ:06:30~10:00 KST çíóÉ:11:30~14:30 KST ?ß¾1İ»:17:30~19:30 KST ?ß¾2İ»:20:00~22:00 KST  àøÑ¢×¿ĞàÍëñëÊ£Ñ¢ ğÄóÉ:06:30~10:00 KST çíóÉ1İ»:11:30~13:30 KST çíóÉ2İ»:14:00~16:00 KST ?ß¾1İ»:17:30~19:30 KST ?ß¾2İ»:20:00~22:00 KST","ò¢ôÑ2ûÜàÊëàò¨ÖØìıÏ¢ó×7ûÜõóÏ¢","ùÛÙş",""
"14868","zh-CN","Ø¤ò©","https://chinese.visitseoul.net/restaurants/Ø¤ò©/CNP014866?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP014866","137-830 âÏ?ã¼ßúõ®?Û°ÛÎÜâÔ× 793-13","03041 âÏ?ã¼ßúõ®?Û°Ô×ÎÃÖØ59(ÛÎÜâÔ×) ","+82-507-1418-5228","http://www.templefood.com","øÁìí11:30~15:00¡¢17:00~21:00/ñ²ØÇ11:30~15:00 KST","7?? ?Û°ó×5,6?õóÏ¢  ","??","ùÃ??ïÒãİ "
"14822","en","Wanna Coffee","https://english.visitseoul.net/restaurants/Wanna-Coffee-jp/ENP014821?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP014821","135-888 Sinsa-dong, Gangnam-gu, Seoul 515","135-888 59, Apgujeong-ro 2-gil, Gangnam-gu, Seoul ","+82-2-512-2285","","Weekdays 07:00 - 24:00 (KST) Weekend 08:00 - 24:00 (KST)","Line 3 Sinsa Exit 8  ","","caf?"
"14823","zh-TW","Wanna coffee","https://tchinese.visitseoul.net/restaurants/Wanna-coffee-tc/TCP014821?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014821","135-888 âÏì³÷åÜ¬ã¼Ë°ÑõÏ¡ãæŞŞÔ× 515","135-888 âÏì³ã¼Ë°ÑõÏ¡ääÏÎïÍÖØ2Ê¶59 ","+82-2-512-2285","","øÁìí 07:00 - 24:00 (KST)  ñÎØÇ 08:00 - 24:00 (KST)","3ûÜàÊãæŞŞó×8ûÜõóÏ¢","",""
"13360","zh-CN","Albaizyn","https://chinese.visitseoul.net/restaurants/Albaizyn-CN/CNP013359?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP013359","110-530 âÏ?÷å?ã¼?ÖØ?û³ûùÔ× 74-6","03076 âÏ?ã¼?ÖØ?û³ûùÖØ18 ","+82-2-741-5841","http://cy.cyworld.com/home/37921113","17:00 ~ 21:00 (KST)","4?? û³ûùó×4?õóÏ¢  ","","à¤Úìä³Öù×â"
"6390","ja","«½«ó«Ö«¯«È«ó¡¤«Æ«¸«¬«ë«Ó«Á«Ö","https://japanese.visitseoul.net/restaurants/«½«ó«Ö«¯«È«ó¡¤«Æ«¸«¬«ë«Ó«Á«Ö1/JPP006386?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP006386","136-824 «½«¦«ëã¼àòİÁ?àòİÁÔ× 114-2","02879 «½«¦«ëã¼«½«ó«Ö«¯«°(àòİÁ?)«½«ó«Ö«¯«í115 ","+82-2-764-2420","","08:00 ~ 21:00 (KST)","4?àÊ «Ï«ó«½«ó«Ç«¤«Ã«¯ 5ÛãõóÏ¢  ","","«Æ«¸«««ë«Ó(Ú«Üõª±ÔÊ«««ë«ÓªÎ?ë¿)"
"13922","ko","À¯¸²³«Áö","https://korean.visitseoul.net/restaurants/À¯¸²³«Áö/KOP013919?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013919","110-110 ¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¼­¸°µ¿ 129-1","03188 ¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Á¾·Î 24-8  (¼­¸°µ¿) ","02-723-1741","","11:00 - 02:00","5È£¼± ±¤È­¹® 5¹ø Ãâ±¸  1È£¼± Á¾°¢ 6¹ø Ãâ±¸  ","","³«Áö"
"8613","ko","Âê·çÇÏ½Ã ÈÄ°ÔÃ÷","https://korean.visitseoul.net/restaurants/Âê·çÇÏ½ÃÈÄ°ÔÃ÷/KOP008613?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP008613"," ¼­¿ï Áß±¸ ¸íµ¿2°¡ 32-27 ","04536 ¼­¿ï Áß±¸ ¸íµ¿8±æ 21-5 (¸íµ¿2°¡) 2Ãş","0507-1340-5920","http://www.fugetsu.co.kr ","¸ÅÀÏ 11:30 ~ 14:30, 17:00 ~ 21:30","4È£¼± ¸íµ¿¿ª 6¹ø Ãâ±¸ ","","¿ÀÄÚ³ë¹Ì¾ßÅ°, ¾ß³¢¼Ò¹Ù, ÀÏÇ°¿ä¸®"
"13318","en","Chungmuro Dwaejigalbi","https://english.visitseoul.net/restaurants/Chungmuro-Dwaejigalbi-EN/ENP013314?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP013314","100-013 Chungmuro 3(sam)-ga, Jung-gu, Seoul 29-2","100-013 39, Supyo-ro 6-gil, Jung-gu, Seoul ","+82-2-2272-6428",""," 11:30~23:00 ","Line 3 Chungmuro Exit 6  ","","grilled spareribs"
"6429","ko","¼Û¾ÆÀú¾¾ºó´ë¶±","https://korean.visitseoul.net/restaurants/¼Û¾ÆÀú¾¾ºó´ë¶±/KOP006425?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006425","120-180 ¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ Ã¢Ãµµ¿ 52-75","03788 ¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ¿¬¼¼·Î7¾È±æ 29 (Ã¢Ãµµ¿) ","02-338-4919","","16:00 ~ 02:30 ","2È£¼± ½ÅÃÌ¿ª 1¹ø Ãâ±¸  ","","ÇÑ½ÄÁÖÁ¡"
"5774","ko","·¹½º»Ú¾Æ µÚ ÀÌºÎ","https://korean.visitseoul.net/restaurants/·¹½º»Ú¾ÆµÚÀÌºÎ/KOP005770?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005770","135-954 ¼­¿ï °­³²±¸ Ã»´ãµ¿ 90-25 90-25","06016 ¼­¿ï °­³²±¸ ¼±¸ª·Î152±æ 33 (Ã»´ãµ¿) ","02-517-6034","https://app.catchtable.co.kr/ct/shop/lespoir?from=share","¸ÅÀÏ 12:00 ~ 22:00 (Break Time 15:00 ~ 18:00)","ºĞ´ç¼± ¾Ğ±¸Á¤·Îµ¥¿À¿ª 3,4¹ø Ãâ±¸","","Å·Å©·¦°ú ¿£´ÙÀÌºê »ø·¯µå, Çª¾Æ±×¶ó"
"6028","ko","¼¼¸²","https://korean.visitseoul.net/restaurants/¼¼¸²/KOP006026?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006026","100-180 ¼­¿ï Áß±¸ ´Ùµ¿ 140 140","04522 ¼­¿ï Áß±¸ ³²´ë¹®·Î9±æ 24 (´Ùµ¿) ","02-319-4603","","ÆòÀÏ 10:00~15:00, 17:00~22:00 / Åä¿äÀÏ 11:00~20:00","2È£¼± À»Áö·ÎÀÔ±¸¿ª 2¹ø Ãâ±¸","","±¹¼öÀü°ñ(1¸¸5Ãµ¿ø), °öÃ¢Àü°ñ (1¸¸ 5Ãµ¿ø)"
"6070","ko","Å¸´Ï³Ø½ºÆ®µµ¾î","https://korean.visitseoul.net/restaurants/Å¸´Ï³Ø½ºÆ®µµ¾î-KR/KOP006067?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006067","100-092 ¼­¿ï Áß±¸ ³²´ë¹®·Î2°¡ 130 130 ¿¡ºñ´º¿¤ 9Ãş","04533 ¼­¿ï Áß±¸ ³²´ë¹®·Î 73 (AVENUEL) 9Ãş","0507-1433-6100","http://www.taninextdoor.com/","¸ÅÀÏ 11:30~15:00 / 17:00~21:30","2È£¼± À»Áö·ÎÀÔ±¸¿ª 7¹ø Ãâ±¸  ","","·±Ä¡¼¼Æ®, µğ³ÊÄÚ½º"
"7072","zh-CN","Ê«?","https://chinese.visitseoul.net/restaurants/Ê«?°¡¿Â4/CNP007069?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP007069","143-802 âÏ?ã¼?òĞ???Ô× 102 ?ÓÛGoldentel 106?","04969 âÏ?ã¼?òĞ?ä±ó«ß£ÖØ78Ê¶75 ","+82-2-3436-7100","http://narugaon.com/front/php/gift/gift.php","11:20 ~ 22:30 (KST)","5?? ?Ô¤Ï¢£¨Gwangnaru£© 2?õóÏ¢ÜÆú¼15İÂ?  ",",?Ùş",""
"24557","en","Ibis Styles Ambassador Seoul Myeongdong (Le Style Restaurant & Bar)","https://english.visitseoul.net/restaurants/Ibis-styles-Ambassador-Myeongdong-en/ENP024556?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP024556","100-861 53-10, Chungmuro 2(i)-ga, Jung-gu, Seoul ","04553 302, Samil-daero, Jung-gu, Seoul ","+82-2-6020-8880","https://www.ambatel.com/ibisstyles/myeongdong/en/main.do","Lunch 12:00 - 14:30 (KST) Dinner 18:00 - 22:30 (KST) Bar 18:00 - 22:30 (KST) Sunday 12:00 to 17:00 only (KST)","Subway Line 4, Myeongdong Station, Exit 10","KOR, ENG, CHN, JPN",""
"24626","ja","ON River Station","https://japanese.visitseoul.net/restaurants/on-river-station-jp/JPP024624?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP024624"," «½«¦«ëã¼Ë°Ñõ?ääÏÎïÍÔ×380-2 ","06000 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«¢«Ã«¯«¸«ç«ó«í11«®«ë 37-30","+82-507-1400-1582","http://www.onriver.co.kr/","11:00 ~ 05:00 (KST)","ò¢ù»?3?àÊ¡¸«¢«Ã«¯«¸«ç«ó¡¹?6ÛãõóÏ¢","ùÛ?åŞ",""
"41842","en","Pets Sounds Music Pub","https://english.visitseoul.net/restaurants/PetsSoundsMusicPub/ENP041790?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP041790"," ¼­¿ï ¿ë»ê±¸ ÀÌÅÂ¿øµ¿ 278-8 ","04343 21, Hoenamu-ro, Yongsan-gu, Seoul (3F) ","+82-70-8648-3650","https://www.instagram.com/petsoundsmusicpub/","Monday - Thursday 17:30 - 02:00 (KST) Friday - Sunday 17:00 - 03:00 (KST)","Subway Line 6, Noksapyeong Station, Exit 2","","Pizza, Chili Cheese Fries, Chicken Tender"
"10312","ko","¿ë±İ¿Á","https://korean.visitseoul.net/restaurants/¿ë±İ¿Á-kr/KOP010312?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP010312","110-043 ¼­¿ï Á¾·Î±¸ ÅëÀÎµ¿ 118-5","03036 ¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÚÇÏ¹®·Î 41-2 (ÅëÀÎµ¿) ","02-777-4749","http://www.yonggeumok.co.kr","¿ù~±İ 11:30 ~ 15:00 / 17:00 ~ 21:30 Åä¿äÀÏ 11:30 ~ 20:00","3È£¼± °æº¹±Ã¿ª 2¹ø Ãâ±¸  ","","¼­¿ïÃß¾îÅÁ, ¹Ì²Ù¶óÁöºÎÄ§, ¸ğµÒÀü, Ãß¾îÆ¢±è, ÅÁÆòÃ¤ "
"11048","zh-CN","Sushi shi-ro  ","https://chinese.visitseoul.net/restaurants/Sushi-shi-ro-CN/CNP010997?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP010997","121-829 âÏ?ã¼Ø«øİß¾â©Ô× 318-2 ","04049 âÏ?ã¼Ø«øİ??ûú??ÖØ34  ","+82-2-336-8353","","øÁìí 12:00~14:30 /18:00 ~22:00 ñ²ØÇ 13:00~15:30/18:00 ~22:00","6??ß¾â©ó×1õóÏ¢     ","","?ŞÉ"
"12151","en","Seogang 8-gyeong","https://english.visitseoul.net/restaurants/Seogang-8-gyeong/ENP012148?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP012148"," 356-6, Sangsu-dong, Mapo-gu, Seoul ","04081 128, Tojeong-ro, Mapo-gu, Seoul ","+82-2-334-1919","http://www.seogang8kyoung.co.kr/","Daily 12:00 - 15:00 / 17:30 - 19:30 / 20:00 - 24:00 (KST)","Subway Line 6, Sangsu Station, Exit 3 (800 m on foot)  ","KOR",""
"13620","zh-CN","äÌàòÔ´?ì¥(Anseong Ttosuni)","https://chinese.visitseoul.net/restaurants/äÌàòÔ´?ì¥Anseong-Ttosuni1/CNP013619?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP013619","110-062 âÏ?ã¼?ÖØ?ãæ?ÖØ2Ê¶1-161 ","03175 âÏ?ã¼?ÖØ??ı÷?Ê¶18 ","+82-507-1483-5670","","øÁìí11:00~15:00¡¢17:00~21:00/ñ²×¿11:00~20:00 KST","5?? ÎÃûù? 1õóÏ¢  ","","ìéÚõ?ãÒÖù×â"
"11756","ko","¿µÃµ¿µÈ­½ÄÀ°½Ä´ç","https://korean.visitseoul.net/restaurants/¿µÃµ¿µÈ­½ÄÀ°½Ä´ç/KOP011756?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011756","135-952 ¼­¿ï °­³²±¸ Ã»´ãµ¿ 50-13 ","06070 ¼­¿ï °­³²±¸ µµ»ê´ë·Î90±æ 3 (»ó¹Îºôµù) ","02-3442-0381","http://www.ycyh.co.kr/default/","","7È£¼± Ã»´ã¿ª 9¹ø Ãâ±¸","","ÇÑ¿ì À°È¸, ÇÑ¿ì °¥ºñ»ì, ÇÑ¿ì ¾ÈÃ¢»ì, ÇÑ¿ì ²Éµî½É"
"2620","ja","ªÉªóªÖªê","https://japanese.visitseoul.net/restaurants/Donburi-JP/JPP002603?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP002603","121-893 «½«¦«ëã¼Ø«øİ?à¤ÎéÔ×366-18 ","04042 «½«¦«ëã¼«Ş«İ(Ø«øİ)?«Á«ã«ó«À«ê«í6«®«ë40-8 (à¤ÎéÔ×)","+82-2-3141-8398","http://www.hddonburi.com/","11:00~04:00","ò¢ù»?2?àÊ¡¸«Û«ó«Ç«¤«×«¯¡¹?9ÛãõóÏ¢","ùÛ?åŞ","?"
"2634","zh-TW","Hanwoori","https://tchinese.visitseoul.net/restaurants/Hanwoori/TCP002632?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP002632","135-010 âÏì³ã¼ Ë°ÑõÏ¡ ÒÕúÖÔ× 91-18","06054 âÏì³ã¼Ë°ÑõÏ¡Óöß£ÓŞÖØ304 ","+82-2-545-3334","http://www.hwrfood.com","øÁìí11:30~14:30¡¢17:30~22:00/ñÎØÇ11:30~22:00 KST","7ûÜàÊ Ë°ÑõÏ¡ôæ 3ûÜõóÏ¢  ","","??éÚë¿ØığÉûıÎ§ ÛÜï·?éÚë¿ ??Î§"
"2636","ko","ÇÑ¿ì¸®(º»Á¡)","https://korean.visitseoul.net/restaurants/ÇÑ¿ì¸®º»Á¡--HanwooriMain/KOP002632?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP002632"," ¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö2µ¿ 91-18","06054 ¼­¿ïÆ¯º°½Ã °­³²±¸ µµ»ê´ë·Î 304 (³íÇöµ¿) ","02-545-3334","http://www.hwrfood.com","ÆòÀÏ 11:30~14:30, 17:30~22:00 / ÁÖ¸» 11:30~22:00","7È£¼± °­³²±¸Ã»¿ª 3¹ø Ãâ±¸  ","","¹ö¼¸¼è°í±â±¹¼öÀü°ñ ·Î½ºÆíÃ¤ »ı»şºê»şºê"
"14263","en","Beberu","https://english.visitseoul.net/restaurants/Bums-EN/ENP014261?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP014261","135-954 88-8, Cheongdam-dong, Gangnam-gu, Seoul ","135-954 16, Dosan-daero 55-gil, Gangnam-gu, Seoul ","+82-2-3447-0888","","Daily 11:30 - 22:00","* Subway Line 7, Gangnam-gu Office Station, Exit 4 * Bundang Line, Apgujeong Rodeo Station, Exit 4 (5 mins on foot)","",""
"3018","zh-TW","òĞòĞÎõí­(Jinjinmandu)","https://tchinese.visitseoul.net/restaurants/òĞòĞÎõí­Jinjinmandu-TC/TCP003016?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP003016","150-886 36-4, Yeouido-dong, Yeongdeungpo-gu, Seoul, Korea 36-4","07331 âÏì³ã¼çµÔôøİÏ¡ÏĞğ·ÑÑë×ÖØ8Ê¶34 ","+82-2-780-7867","","11:00 ~ 15:00 / 17:00 ~ 21:00 (KST)","9ûÜàÊ ßßË° 1ûÜõóÏ¢ 5ûÜàÊ æ£ëøÓö 5ûÜõóÏ¢","","Îõí­"
"3019","ko","ÁøÁø¸¸µÎ","https://korean.visitseoul.net/restaurants/ÁøÁø¸¸µÎ-KR/KOP003016?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP003016","150-886 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 36-4 ¿À·ûºôµù 3Ãş","07331 ¼­¿ï ¿µµîÆ÷±¸ ±¹Á¦±İÀ¶·Î8±æ 34 (¿©ÀÇµµµ¿, ¿À·ûºôµù) 3Ãş","02-780-7867","","11:00 ~ 15:00 / 17:00 ~ 21:00","9È£¼± »û°­¿ª 1¹ø Ãâ±¸ 5È£¼± ¿©ÀÇµµ¿ª 5¹ø Ãâ±¸  ","",""
"2513","zh-CN","Daejangjangi Hwadeok Pizza Jip","https://chinese.visitseoul.net/restaurants/Daejangjangi-Hwadeok-Pizza-Jip-CN/CNP002495?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP002495","110-260 202-1, Gahoe-dong, Jongno-gu, Seoul, Korea ","03056 âÏ?ã¼?ÖØ?İÁõ½ÖØ 42-4 ","+82-507-1315-4298","","øÁìí11:30~15:00¡¢17:00~21:00/ñ²ØÇ11:30~15:00¡¢16:00~21:00 KST","3?? äÌ?ó×2?õóÏ¢ ","","İï?¡¢ëòÓŞ××Øü¡¢ßäÕÃ¡¢øãÔ¬ñĞ"
"2515","en","Mokpo Jamaejip","https://english.visitseoul.net/restaurants/Mokpo-Jamaejip-EN/ENP002514?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP002514","135-829 226-4, Nonhyeon-dong, Gangnam-gu, Seoul ","06107 14, Eonju-ro 115-gil, Gangnam-gu, Seoul ","+82-2-543-0729","http://cafe.naver.com/sister44","Daily 11:30 - 22:00, Saturdays 11:30 - 21:00 KST","Subway Line 7, Hakdong Station, Exit 1","KOR",""
"12185","en","Samcheongdong Sujebi","https://english.visitseoul.net/restaurants/Samcheongdong-Sujebi-E/ENP012185?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP012185","110-230 Samcheong-dong, Jongno-gu, Seoul 102","03049 101-1, Samcheong-ro, Jongno-gu, Seoul ","+82-2-735-2965","http://www.»ïÃ»µ¿¼öÁ¦ºñ.kr","11:00-20:00 KST","Line 3 Anguk Exit 1  ","",""
"5676","zh-CN","?ŞÉğÈ(Sushi Cho)","https://chinese.visitseoul.net/restaurants/Sushi-Cho-CN/CNP005661?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP005661","100-070 âÏ?ã¼ñé?á³ÍëÔ×87-1 ","04533 âÏ?ã¼ñé?á³ÍëÖØ106 ","+82-2-317-0373","","øÁìí07:00~10:00, 12:00~15:00, 17:30~22:00/ñ²ØÇ12:00~15:00, 17:30~22:00 KST","1?? ã¼ïÙİ¤ó×6?õóÏ¢","","ìíÜâÖù×â"
"6395","zh-CN","æ£ëø?éÚÛÉÍéë¿?(Yeouidoyangjitang)","https://chinese.visitseoul.net/restaurants/æ£ëø?éÚÛÉÍéë¿?Yeouidoyangjitang-CN/CNP006392?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006392","07238 âÏ?÷å?ã¼çµÔôøİ?æ£ëø?Ô× 14-2","07238 âÏ?ã¼çµÔôøİ???ÓŞÖØ70Ê¶7 ","+82-2-784-0065","","ñ²ñé 09:00 ~ 22:00  (KST) ñ²ØÇ 09:00 ~ 21:30  (KST)","9?? ???ŞÀÓÑó×1?õóÏ¢","",""
"30092","en","Kervan Banpo Branch","https://english.visitseoul.net/restaurants/Kervan-Banpo-Branch/ENP030002?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP030002","137-960 19-3 Banpo-dong, Seocho-gu, Seoul ","06546 B1, 176 Sinbanpo-ro, Seocho-gu, Seoul (Shinsegae Gangnam)","+82-2-797-2356","http://www.kervan.co.kr/","Daily 08:00 - 20:00 (KST)","Express Bus Terminal Station (subway line 3, 7, 9) exit 8","KOR, ENG, FRE",""
